#, ID, string, message type, special tag support,
#Category name,
#,
GENERAL, 1, Test </strong> ABC </strong> Data </??br> <map 1001001> </br>%s, SYSTEM_NOTIFY, 1,
GENERAL, -1, general purpose error, SYSTEM_NOTIFY, 0,
GENERAL, 2, failed to read map data. , SYSTEM_WARNING,
GENERAL, 3, saved screenshots. (%s), SYSTEM_NOTIFY,
CHAT_MSG, GENERIC, unknown remark error, SYSTEM_WARNING, 0,
CHAT_MSG, 2, can't whisper itself, SYSTEM_WARNING,
CHAT_MSG, -802, I can't speak because I'm not in the party, SYSTEM_WARNING,
The soul CHAT_MSG, -1400, <errmsg> was not found, SYSTEM_WARNING, 1,
CHAT_MSG, -1401, No items for whole chat, SYSTEM_WARNING,
CHAT_MSG, -1402, cannot be used because it is in cool time, SYSTEM_WARNING,
CHAT_MSG, -1403, Cannot say the same thing in a row, SYSTEM_WARNING,
CHAT_MSG, -1404, Soul Rank 2 cannot be shouted, SYSTEM_WARNING,
CHAT_MSG, -1405, cannot be used because it is in cool time, SYSTEM_WARNING,
CHAT_MSG, -2201, denying whisper to target, SYSTEM_WARNING,
CHAT_MSG, -2202, Cannot whisper because it is on the other party's rejection list, SYSTEM_WARNING,
CHAT_MSG, -3000, Cannot chat during trading, SYSTEM_WARNING,
CHAT_MSG, -3001, You can't chat all over the street, SYSTEM_WARNING,
WIS_CHAT_MSG, GENERIC, Whisper transmission failed: <errcode>, SYSTEM_WARNING, 1,
WIS_CHAT_MSG, -2202, Rejecting whisper to target, SYSTEM_WARNING,
WIS_CHAT_MSG, -2201, Cannot whisper because it is on the other party's rejection list, SYSTEM_WARNING,
SOULCREATE_MSG, GENERIC, unknown account creation error occurred, SYSTEM_WARNING,
SOULCREATE_MSG, -611, a soul name already in use, SYSTEM_WARNING,
SOULCREATE_MSG, -616, Illegal soul name, SYSTEM_WARNING,
ITEMUSE, GENERIC, The item is currently unavailable, SYSTEM_WARNING,
ITEMUSE, 10000, currently unavailable, SYSTEM_WARNING,
ITEMUSE, 1, Items in inventory are not available on the current map. , SYSTEM_WARNING,
ITEMUSE, -201, Invalid item storage location, SYSTEM_WARNING,
ITEMUSE, -203, cannot move there, SYSTEM_WARNING,
ITEMUSE, -204, Illegal item quantity, SYSTEM_WARNING,
ITEMUSE, -205, Illegal use of item, SYSTEM_WARNING,
ITEMUSE, -206, cannot be used due to delay time, SYSTEM_WARNING,
ITEMUSE, -207, inventory full, SYSTEM_WARNING,
ITEMUSE, -208, cannot be used because the item is cursed, SYSTEM_WARNING,
ITEMUSE, -209, cannot be used because the item is damaged, SYSTEM_WARNING,
ITEMUSE, -210, does not meet item equipment requirements, SYSTEM_WARNING,
