#,シリアルID,名前
#,,
#,,
#,1,2
#,1,
#,1,2
#,1,
#,,
40100001,Imp card
40100002,Oak card
40100003,Goblin card
40100004,Kobold card
40100005,Pixie card
40100006,Zombie card
40100007,Grave mist card
40100008,Skeleton card
40100009,Vampire bat card
40100010,Giant Club Card
40100011,Scorpion card
40100012,Dragon Fly card
40100013,Gas cloud card
40100014,Bubbly slime card
40190001,Pygmy card
40190002,The natural system Made Hina card
40190003,The main defunct Made Reina card
40190004,Bell class channel card
40190005,Eyes Wallenstein card
40190006,Hestia card
40190007,Aikawa Uzuha card
40190008,Diablo cis card
40190009,Las Tiara Foods Yards card
40190010,Snow Walker card
40200001,Bartolo card
40200002,Lou kiss card
40200003,Gilda card
40200004,Karoo La card
40200005,Gomez card
40200006,Rosie card
40200007,Memory Card
40200008,Nerosu card
40200009,Lara card
40200010,Angelica card
40290001,Adventurer's Guild staff card
40290002,Hull Hilo card
40290003,Lanta card
40290004,Manat card
40290005,Shihorukado
40290006,Yumekado
40290007,Moguzokado
40300001,Dark Rider card
40300002,Fire Giant card
40300003,Werewolf card
40300004,Giant Mantis card
40300005,Giant Viper card
40300006,Bo Pal Bunny card
40300007,Gargoyle card
40300008,Venus Man Trap card
40300009,Dollar Con card
40300010,Manon card
40300011,Socie card
40300012,Villa cement card
40300013,Paula card
40300014,Swimsuit Mirio card
40300015,Cosette card
40300016,Winter of love spirit ★ Mirio card
40390001,Merii card
40400001,Galleon card
40400002,Yuri card
40400003,Stella card
40400004,Eva card
40400005,Gino Vee card
40400006,Camellia card
40400007,Shadow Fang card
40400008,Marika card
40400009,Darian card
40400010,Geese Forest card
40400011,Kororon card
40400012,Gros Liskeard
40400013,Silky card
40400014,Manual leek card
40400015,Egrets card
40400016,Sakkyubasu card
40400017,Selma card
40400018,Kazuma card
40400019,Bajiriokado
40400020,Eckhart card
40400021,Miruyamukado
40400022,Emilio card
40400023,Efi card
40400024,Odette card
40400025,Elsa card
40400026,Artemisia card
40400027,Libre card
40400028,Adeline card
40400029,Ferdinand card
40400030,Alpes card
40400031,Chimera card
40490001,Sebastian = Afro card
40490002,Mille I Rie over ya card
40490003,Teff Via card
40490004,Juju & Alpes card
40490005,Juju & Bunny card
40490006,Ann Bell card
40500001,Desmond card
40500002,Forma card
40500003,Prim card
40500004,Candy card
40500005,The stock card
40500006,Sierra card
40500007,Le Doria card
40500008,Yurie card
40500009,Karreshi-Tsukikakado
40500010,Tivu vodka card
40500011,A Martinez card
40500012,Eri © One card
40500013,Margo card
40500014,Kanak card
40500015,Minesukado
40500016,Ish-Mooren card
