#Identification information,name,Log ID,Do not output logs to enemies,Cast log ID,Hit log ID,Effect type,Occupational effect type,Casting time,Cool time,Changes depending on the map ID,,Cannot be used when delivering a sword,Required level,HP consumed,MP consumption,AP consumption,AC consumption,Durable consumption,Consumable item 1,Number of items,Consumable item 2,Number of items,Consumable item 3,Number of items,Consumable item 4,Number of items,Cast script ID,Trigger script ID,Activation effect ID [1],Activation effect ID [2],Equipment script change,Effect range effect display to yourself,Object camp,Automatic combo,Hit effect 2,Script parameters [1],Script parameter [2],Scan type,,,,,Effect time for chip display,,Available occupations,,,,,,,,Cannot be used when the shield is not equipped,Cannot be equipped when using skills,Characteristic effect type,Timing maximum time,Timing image ID,Timing script ID,Abnormal condition effect type,,,For target when activated
Change direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SkillBaseID,,,,,,,,,,Map ID,Rigidity time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Since it is automatically updated, no input is required)",,FIGHTER,THIEF,MAGE,PRIEST,SAMURAI,NINJA,BISHOP,LORD,,,,,,,,CLOWN,ALCHEMIST,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,display name,Effect time,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,,,1
#SV,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,,,,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Map ID,scale,NONE,NONE,,,,,,,,,,,,,,,,,,,,
# 110001101,Break 01,1,,,,PHYSIC,FIGHTER,0.77,3,1,2.25,,,5,,,,,,,,,,,,,1,1,1,0,1,1,ENEMY,0,,1,,WEAPON,1,1,,,,,1,1,1,1,1,1,1,1,,,,0,0,0,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distance,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,
# 110001201,Break 02,1,,,,MAGIC,,0.6,0,0,1,,,,,,,,,,,,,,,,2,2,1,0,0,1,ENEMY,0,,,,DIRECT,,,,,,,1,1,1,1,1,1,1,1,,,,0,0,0,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,NONE,NONE,NONE,,,,,,,,,,,,,,,,,,,,
