#,#Identification information,,,,,,,,,,,,,,Good /bad,Can it be removed arbitrarily,Overwrite effect,,,Abnormal state type,,,,Displayed in a special area,Is it an equipment buff?
#,#serialid,In-game name,,Icon ID,Log ID,Log ID at the time of death,Stealth log ID,Effect ID,Motion stop,Footprint invalid,Bright light,Additional Trail (Physical) Effect ID,Insurance amulet (equipment),Log ID when the effect is duplicated,,,,Effect log ID,,,Effect playback disabled during change map,Screen effect,Action button forced enable,,
#,#: Up to 6000,Normal time,In-game description,,,,,,,,,,,,,,,,At the time of grant effect,,,,,,
#,#,,,,,,Automatic calculation,,,,,,,,,,,,,,,,,,
#,1,,,,,,,,,,,,,,5,6,9,,,4,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
4,Torchlight,Test Vitality and Strength,,,,,,,,1,,,1,GOOD,0,0,,,,,,,,,
9,Invincible,,,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
10,Invincible,,105010,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
11,Draw Weapon Prohibited,<color PARAM_DN> Cannot Draw Weapon </color>,503002,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
12,Soul Partner Prohibited,<color PARAM_DN> Cannot Summon Soul Partner </color>,105045,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
13,Item Use Prohibited,<color PARAM_DN> Cannot Use Items </color>,503002,1,,1,2,,,,,,1,NONE,0,0,,,,,,,1,,
14,Auto Collect Items,,,,,,,,,,,,1,NONE,0,0,,,,,,,,,
15,Skill Use Prohibited,<color PARAM_DN> Cannot Use Skills </color>,503002,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
16,Blind,<color PARAM_DN> Cannot See </color>,400010,8,,8,,,,,,,,NONE,0,0,,,,,1,,1,,
17,Torchlight,Unyeilding Flame,101008,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
18,,,,,,,,,,,,,,NONE,0,1,,,,,,,,,
20,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
21,Sanity,,505050,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
22,Sanity,,505049,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
23,Sanity,,505048,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
24,Sanity,,505047,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
25,Sanity,,505046,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
26,Sanity,,505045,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
27,Sanity,,505044,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
28,Sanity,,505043,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
29,Sanity,,505042,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
30,Sanity,,505041,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
31,Sanity,,505040,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
32,Sanity,,505039,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
33,Sanity,,505038,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
34,Sanity,,505037,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
35,Sanity,,505036,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
