#,#Identification information,name,Cool time ID,Type,Sort type,Custom skill attributes,Cannot be used in the city,Power level consumer occupation,Power level,Lowest level,Highest level,Required number of parent skills,Parent skill 1,Parent skill 1 Required level,Parent skill 2,Parent skill 2 Required level,Parent skill 3,Parent skill 3 Required level,Parent skill 4,Parent skill 4 Required level,Combo level,Step available,Cast voice ID,Activate voice ID,Target mode,Additional attributes,,Timing voice ID,Shared ID,Shared skill enhancement ID,,,Is it inheritable?,,No level notation required
#,#SkillTreeID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared ID,
#,#,,,,,,,,,,,,,,,,,,,,,,,,,Start trap,Additional trap,,,,,,,MAX68,
#,#,,MAX = 277,,,,,,,,,,,,,,,,,,,,,,,,,,,ID1,ID2,ID3,,,
#,1,2,3,4,,5,9,10,11,12,13,14,15,16,17,18,19,20,21,22,29,,,,,7,8,,,32,33,34,6,31,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10001,test1,255,ACTIVE,ATTACK,NONE,1,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10012,test2,255,PASSIVE,ATTACK,NONE,0,NONE,0,1,2,,0,,0,,0,,0,,0,0,0,0,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,Observe,255,IDTRAP,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,,,0,,,,,,0,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,look in,255,IDTRAP,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,,,0,,,,,,0,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10004,test5,255,ACTIVE,ATTACK,NONE,1,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,1,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10005,test6,255,ACTIVE,ATTACK,NONE,1,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,,1,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10006,01 for effect test,255,ACTIVE,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,0,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10007,01 for stress test,255,ACTIVE,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,11,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10008,Test warp,255,ACTIVE,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,112,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,10009,Test shield bash,255,ACTIVE,ATTACK,NONE,0,NONE,0,1,1,,0,,0,,0,,0,,0,0,0,3,MAIN,,,0,,,,,,0,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
