#,,,Classification,Effect ID,Effect ID when active,Inactive effect ID,Nameplate type change,Model switching when active,Model switching at the time of death,For skills,Basic ability information,,Model is loading,Target attribute,Access range value at the time of death,Transparency flag,,,,,,,,,,Animation category reference flag,Effect ID at death,Droppable effect ID,,Log ID at death
#,Monster name,Street name,catalogID,,,,,,,SkillAttackID,level,CM (FOE),Texture type,,,,,,,,,,,,,,,,Sound ID,
#,,,,,,,,,,,,,,,,face,hair,right hand,left hand,Head,Torso,leg,arm,legs,Cloak,,,,,
#,1.23457E+22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,2,3,4,,,,,,,20,21,102,,,,,,,,,,,,,,,,,,
#,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#Thief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,Highwayman,,10101,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
10102,Highwayman,,10102,,,,,,,10101,12,0,1,,,,,,,,,,,,,,,,,
10103,Burglar,,10103,,,,,,,10101,9,0,1,,,,,,,,,,,,,,,,,
10104,Rogue,,10104,,,,,,,10101,9,0,1,,,,,,,,,,,,,,,,,
10105,Bushwhacker,,10105,,,,,,,10101,22,0,1,,,,,,,,,,,,,,,,,
10106,Rogue,Fire Cracker Member,10106,,,,,,,10101,7,0,1,,,,,,,,,,,,,,,,,
10107,Highwayman,Junk Metal Member,10107,,,,,,,10101,7,0,1,,,,,,,,,,,,,,,,,
10108,Rookie Scout,Bad Rose Member,10108,,,,,,,10101,2,0,1,,,,,,,,,,,,,,,,,
10109,Rookie Scout,Bad Rose Member,10108,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
10110,Rookie Watchman,Bad Rose Member,10110,,,,,,,10101,5,0,1,,,,,,,,,,,,,,,,,
10111,Crypt Raider,,10111,,,,,,,10101,27,0,1,,,,,,,,,,,,,,,,,
10112,Veteran Thief,,10112,,,,,,,10101,36,0,1,,,,,,,,,,,,,,,,,
10113,Bow thief,For confirmation,10113,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
10114,Gun thief,For confirmation,10114,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
10115,Treasure Robber,,10115,,,,,,,10101,60,0,1,,,,,,,,,,,,,,,,,
10116,Rogue Scout,Bad Laurel Grave Robbers,10116,,,,,,,10101,60,0,1,,,,,,,,,,,,,,,,,
10117,Red Star Gunner,Red Star Brigade Intelligence Team,10117,,,,,,,10101,50,0,1,,,,,,,,,,,,,,,,,
10118,Rogue,,10118,,,,,,,10101,7,0,1,,,,,,,,,,,,,,,,,
10119,Highwayman,,10119,,,,,,,10101,35,0,1,,,,,,,,,,,,,,,,,
10151,Stinginness,,10151,,,,,,,10101,21,0,1,,,,,,,,,,,,,,,,,
10152,Insanity Thief,,10152,,,,,,,10101,35,0,1,,,,,,,,,,,,,,,,,
10153,Rush Burglar,Bad Laurel Grave Robbers,10153,,,,,,,10101,60,0,1,,,,,,,,,,,,,,,,,
10154,Red Star Grenadier,Red Star Brigade Combat Team,10154,,,,,,,10101,55,0,1,,,,,,,,,,,,,,,,,
10155,Red Star Grenadier,Red Star Brigade Combat Team,10155,,,,,,,10101,28,0,1,,,,,,,,,,,,,,,,,
10156,Red Star Unit,Red Star Brigade Procurement Team,10156,,,,,,,10101,40,0,1,,,,,,,,,,,,,,,,,
10157,Rogue,,10157,,,,,,,10103,7,0,1,,,,,,,,,,,,,,,,,
10158,Rogue,,10157,,,,,,,10103,1,0,1,,,,,,,,,,,,,,,,,
10251,Highwayman,Nostalgic,10119,,,,,,,10101,35,0,1,,,,,,,,,,,,,,,,,
10301,Zeld The XIII,Phantom Thief,10301,,,,,,,10101,11,0,1,,,,,,,,,,,,,,,,,
10302,Mickey,,10302,,,,,,,10102,25,0,1,,,,,,,,,,,,,,,,,
10401,Mad Jasmine,Bad Rose Member,10401,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
10402,Dandelion,Bad Rose Member,10402,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
10403,Crazy Lilac,Bad Rose Member,10403,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
10404,Hungry Pansies,Bad Rose Member,10404,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
10405,Highwayman,+AFs-MAC+AF0-,10405,,,,,,,10101,12,0,1,,,,,,,,,,,,,,,,,
10406,Bushwhacker,+AFs-MAC+AF0-,10406,,,,,,,10101,30,0,1,,,,,,,,,,,,,,,,,
10407,Mad Jasmine,+AFs-MAC+AF0-,10407,,,,,,,10101,15,0,1,,,,,,,,,,,,,,,,,
10408,Dandelion,+AFs-MAC+AF0-,10408,,,,,,,10101,15,0,1,,,,,,,,,,,,,,,,,
10409,Crazy Lilac,+AFs-MAC+AF0-,10409,,,,,,,10101,15,0,1,,,,,,,,,,,,,,,,,
10410,Hungry Pansies,+AFs-MAC+AF0-,10410,,,,,,,10101,15,0,1,,,,,,,,,,,,,,,,,
10501,Dummy Doll,,10501,,,,,,,10101,1,0,1,,,,,,,,,,,,,,,,,
10601,Thief,,10601,,,,,,,10101,1,0,1,,,,,,,,,,,,,,,,,
10602,Thief,,10602,,,,,,,10101,30,0,1,,,,,,,,,,,,,,,,,
10603,Thief,,10603,,,,,,,10101,31,0,1,,,,,,,,,,,,,,,,,
10604,Thief,,10604,,,,,,,10101,70,0,1,,,,,,,,,,,,,,,,,
10605,Thief,,10605,,,,,,,10101,71,0,1,,,,,,,,,,,,,,,,,
10606,Thief,,10606,,,,,,,10101,100,0,1,,,,,,,,,,,,,,,,,
10611,Thief Archer,,10611,,,,,,,10101,1,0,1,,,,,,,,,,,,,,,,,
10612,Thief Archer,,10612,,,,,,,10101,30,0,1,,,,,,,,,,,,,,,,,
10613,Thief Archer,,10613,,,,,,,10101,31,0,1,,,,,,,,,,,,,,,,,
10614,Thief Archer,,10614,,,,,,,10101,70,0,1,,,,,,,,,,,,,,,,,
10615,Thief Archer,,10615,,,,,,,10101,71,0,1,,,,,,,,,,,,,,,,,
10616,Thief Archer,,10616,,,,,,,10101,100,0,1,,,,,,,,,,,,,,,,,
10621,Thief Gunner,,10621,,,,,,,10101,1,0,1,,,,,,,,,,,,,,,,,
10622,Thief Gunner,,10622,,,,,,,10101,30,0,1,,,,,,,,,,,,,,,,,
10623,Thief Gunner,,10623,,,,,,,10101,31,0,1,,,,,,,,,,,,,,,,,
10624,Thief Gunner,,10624,,,,,,,10101,70,0,1,,,,,,,,,,,,,,,,,
10625,Thief Gunner,,10625,,,,,,,10101,71,0,1,,,,,,,,,,,,,,,,,
10626,Thief Gunner,,10626,,,,,,,10101,100,0,1,,,,,,,,,,,,,,,,,
10751,Thief,,10751,,,,,,,10101,2,0,1,,,,,,,,,,,,,,,,,
10761,Thief Archer,,10761,,,,,,,10101,2,0,1,,,,,,,,,,,,,,,,,
10771,Thief Gunner,,10771,,,,,,,10101,2,0,1,,,,,,,,,,,,,,,,,
10901,Guard Only thief,,10101,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
10902,Blood Seeker,,10902,,,,,,,10101,17,0,1,,,,,,,,,,,,,,,,,
200010101,Highwayman,,10101,,,,,,,10101,3,0,1,,,,,,,,,,,,,,,,,
200010105,Bushwhacker,,10105,,,,,,,10101,22,0,1,,,,,,,,,,,,,,,,,
200010106,Rogue,Fire Cracker Member,10106,,,,,,,10101,7,0,1,,,,,,,,,,,,,,,,,
200010107,Highwayman,Junk Metal Member,10107,,,,,,,10101,7,0,1,,,,,,,,,,,,,,,,,
200010108,Rookie Scout,Bad Rose Member,10108,,,,,,,10101,2,0,1,,,,,,,,,,,,,,,,,
200010110,Rookie Watchman,Bad Rose Member,10110,,,,,,,10101,5,0,1,,,,,,,,,,,,,,,,,
200010111,Crypt Raider,,10111,,,,,,,10101,27,0,1,,,,,,,,,,,,,,,,,
200010112,Veteran Thief,,10112,,,,,,,10101,36,0,1,,,,,,,,,,,,,,,,,
200010115,Treasure Robber,,10115,,,,,,,10101,45,0,1,,,,,,,,,,,,,,,,,
200010116,Rogue Scout,Bad Laurel Grave Robbers,10116,,,,,,,10101,46,0,1,,,,,,,,,,,,,,,,,
200010151,Stinginness,,10151,,,,,,,10101,21,0,1,,,,,,,,,,,,,,,,,
200010153,Rush Burglar,Bad Laurel Grave Robbers,10153,,,,,,,10101,50,0,1,,,,,,,,,,,,,,,,,
200010401,Mad Jasmine,Bad Rose Member,10401,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
200010402,Dandelion,Bad Rose Member,10402,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
200010403,Crazy Lilac,Bad Rose Member,10403,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
200010404,Hungry Pansies,Bad Rose Member,10404,,,,,,,10101,4,0,1,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11101,Lumberjack,,11101,,,,,,,11101,4,0,1,,,,,,,,,,,,,,,,,
11102,Barbarian,,11102,,,,,,,11101,23,0,1,,,,,,,,,,,,,,,,,
11103,Crusher,,11103,,,,,,,11101,27,0,1,,,,,,,,,,,,,,,,,
11104,Raider Chief,,11104,,,,,,,11101,36,0,1,,,,,,,,,,,,,,,,,
11105,Chief,,11105,,,,,,,11101,8,0,1,,,,,,,,,,,,,,,,,
11106,Gun Chief,For confirmation,11106,,,,,,,11101,3,0,1,,,,,,,,,,,,,,,,,
11107,Rogue Head,,11107,,,,,,,11102,60,0,1,,,,,,,,,,,,,,,,,
11108,Red Star Warrior,Red Star Brigade Intelligence Team,11108,,,,,,,11102,50,0,1,,,,,,,,,,,,,,,,,
11151,Great Zagzwell,Muscle Weapon,11151,,,,,,,11103,23,0,1,,,,,,,,,,,,,,,,,
11152,Lost Troop,,11152,,,,,,,11103,29,0,1,,,,,,,,,,,,,,,,,
11153,Lost Troop Junior,Burning revenge,11153,,,,,,,11101,28,0,1,,,,,,,,,,,,,,,,,
11154,Rush Leader,Bad Laurel Grave Robbers Chief,11154,,,,,,,11102,60,0,1,,,,,,,,,,,,,,,,,
11155,Red Star Leader,Red Star Brigade Leader,11155,,,,,,,11102,55,0,1,,,,,,,,,,,,,,,,,
11156,Red Star Leader,Red Star Brigade Leader,11156,,,,,,,11102,28,0,1,,,,,,,,,,,,,,,,,
11157,Red Star Commander,Red Star Brigade Procurement Team,11157,,,,,,,11101,40,0,1,,,,,,,,,,,,,,,,,
11158,Von Rosso,Red Star Brigade Bounty Hunter,11158,,,,,,,11102,60,0,1,,,,,,,,,,,,,,,,,
11201,McLaine,Pursuer of Aggression,11201,,,,,,,11101,28,1,1,,,,,,,,,,,,,,,,,
11251,Rogue Cadre,Bad Laurel Grave Robin Executive,11107,,,,,,,11102,60,0,1,,,,,,,,,,,,,,,,,
11301,Eternity Student,,11301,,,,,,,11102,50,0,1,,,,,,,,,,,,,,,,,
11401,Bad Rose,Bad Rose Bandits,11401,,,,,,,11102,6,0,1,,,,,,,,,,,,,,,,,
11402,Rogue leader,+AFs-MAC+AF0-,11402,,,,,,,11101,14,0,1,,,,,,,,,,,,,,,,,
11403,Barbarian,+AFs-MAC+AF0-,11403,,,,,,,11101,32,0,1,,,,,,,,,,,,,,,,,
11404,Bad Rose,+AFs-MAC+AF0-,11404,,,,,,,11102,20,0,1,,,,,,,,,,,,,,,,,
11501,Rogue Leader,Exile,11501,,,,,,,11101,2,0,1,,,,,,,,,,,,,,,,,
11601,Chief,,11601,,,,,,,11101,1,0,1,,,,,,,,,,,,,,,,,
11602,Chief,,11602,,,,,,,11101,30,0,1,,,,,,,,,,,,,,,,,
11603,Chief,,11603,,,,,,,11101,31,0,1,,,,,,,,,,,,,,,,,
11604,Chief,,11604,,,,,,,11101,70,0,1,,,,,,,,,,,,,,,,,
11605,Chief,,11605,,,,,,,11101,71,0,1,,,,,,,,,,,,,,,,,
11606,Chief,,11606,,,,,,,11101,100,0,1,,,,,,,,,,,,,,,,,
11611,Gunhead territory,,11611,,,,,,,11101,1,0,1,,,,,,,,,,,,,,,,,
11612,Gunhead territory,,11612,,,,,,,11101,30,0,1,,,,,,,,,,,,,,,,,
11613,Gunhead territory,,11613,,,,,,,11101,31,0,1,,,,,,,,,,,,,,,,,
11614,Gunhead territory,,11614,,,,,,,11101,70,0,1,,,,,,,,,,,,,,,,,
11615,Gunhead territory,,11615,,,,,,,11101,71,0,1,,,,,,,,,,,,,,,,,
11616,Gunhead territory,,11616,,,,,,,11101,100,0,1,,,,,,,,,,,,,,,,,
11751,Chief,,11751,,,,,,,11101,5,0,1,,,,,,,,,,,,,,,,,
11761,Gunhead territory,,11761,,,,,,,11101,5,0,1,,,,,,,,,,,,,,,,,
11901,Pleasure Seeker,,11101,,,,,,,11101,20,0,1,,,,,,,,,,,,,,,,,
11902,Grandmaster Kisiri,,11902,,,,,,,11103,1,0,1,,,,,,,,,,,,,,,,,
200011101,Lumberjack,,11101,,,,,,,11101,4,0,1,,,,,,,,,,,,,,,,,
200011102,Barbarian,,11102,,,,,,,11101,23,0,1,,,,,,,,,,,,,,,,,
200011103,crusher,,11103,,,,,,,11101,27,0,1,,,,,,,,,,,,,,,,,
200011104,Raider Chief,,11104,,,,,,,11101,36,0,1,,,,,,,,,,,,,,,,,
200011107,Rogue head,,11107,,,,,,,11102,46,0,1,,,,,,,,,,,,,,,,,
200011151,Great Zagzwell,Muscle Weapon,11151,,,,,,,11103,23,0,1,,,,,,,,,,,,,,,,,
200011152,Lost Troop,,11152,,,,,,,11103,29,0,1,,,,,,,,,,,,,,,,,
200011153,Lost Troop Junior,Burning Revenge,11153,,,,,,,11101,28,0,1,,,,,,,,,,,,,,,,,
200011154,Rush Leader,Bad Laurel Grave Robin Leader,11154,,,,,,,11102,50,0,1,,,,,,,,,,,,,,,,,
200011401,Bad Rose,Bad Rose Bandits,11401,,,,,,,11102,6,0,1,,,,,,,,,,,,,,,,,
200011501,Rogue Leader,Exile,11501,,,,,,,11101,2,0,1,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Executioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12100,Named monster,MOB for quest name,12100,,,,,,,17112,60,1,0,,,,,,,,,,,,,,,,,
12101,Executioners,,12101,,,,,,,12101,9,0,1,,,,,,,,,,,,,,,,,
12102,Executor,,12102,,,,,,,12101,9,0,1,,,,,,,,,,,,,,,,,
12103,Butcher,,12103,,,,,,,12101,12,0,1,,,,,,,,,,,,,,,,,
12104,Destroyer,,12104,,,,,,,12101,33,0,1,,,,,,,,,,,,,,,,,
12105,Helmerder,,12105,,,,,,,12101,35,0,1,,,,,,,,,,,,,,,,,
12106,Butcher,,12106,,,,,,,12101,40,0,1,,,,,,,,,,,,,,,,,
12107,Prisoner Number 13,Dimento Rabies,12107,,,,,,,12102,46,1,1,,,,,,,,,,,,,,,,,
12108,Scapegoat,Despised,12108,,,,,,,12101,9,0,1,,,,,,,,,,,,,,,,,
12109,Death Carrier,,12109,,,,,,,12101,7,0,1,,,,,,,,,,,,,,,,,
12110,Crazy executor,,12110,,,,,,,12101,58,0,1,,,,,,,,,,,,,,,,,
12111,Crazy executor,,12110,,,,,,,12101,63,0,1,,,,,,,,,,,,,,,,,
12112,Crazy executor,Dreamy,12112,,,,,,,12101,82,0,1,,,,,,,,,,,,,,,,,
12113,Prisoner number 13,Dreamy,12100,,,,,,,12102,60,1,1,,,,,,,,,,,,,,,,,
12151,Morg Chief,,12151,,,,,,,12101,28,0,1,,,,,,,,,,,,,,,,,
12152,Mad Farmer,,12152,,,,,,,12101,21,0,1,,,,,,,,,,,,,,,,,
12153,Brother Jumble,Fatty Brothers,12153,,,,,,,12101,24,0,1,,,,,,,,,,,,,,,,,
12154,Brother Boggart,Fatty Brothers,12154,,,,,,,12101,24,0,1,,,,,,,,,,,,,,,,,
