#Equipment model / texture replacement table #Model ID,Alternate model ID,Alternate texture ID-C,Alternate texture ID-S,Alternate texture ID-N,,#Alternative model,,,
200301,200101,200301,200301,,#hard leather mail,#leather mail,,,
300301,300101,300301,300301,,#hard leggings,#leather leggings,,,
400301,400101,400301,400301,,#hard bracer,#Blazer,,,
500301,500101,500301,500301,,#Hard Leather Baskin,#leatherbaskin,,,
100701,100301,100701,,,#Solid Leather Guard,#hard leather guard,,,
200701,200101,200701,,,#solid leather mail,#leather mail,,,
300701,300101,300701,,,#Solid leather leggings,#leather leggings,,,
400701,400101,400701,,,#Solid Blazer,#Blazer,,,
500701,500101,500701,,,#Solid Leather Baskin,#leatherbaskin,,,
100102,100101,100102,,,#spellguard,#Leather Guard,,,
100103,100101,100103,,,#Flame Guard,#Leather Guard,,,
200102,200101,200102,,,#rotten leather armor,#leather mail,,,
200103,200101,200103,,,#High quality leather armor,#leather mail,,,
200104,200101,200104,,,#holy leather armor,#leather mail,,,
201001,200101,201001,,,#sheepskin mail,#leather mail,,,
301001,300101,301001,,,#sheepskin leggings,#leather leggings,,,
101202,101201,101202,101202,101202,#,#chainmail,,,
201202,201201,201202,201202,201202,#,#chainmail,,,
301202,301201,301202,301202,301202,#,#chainmail,,,
401202,401201,401202,401202,401202,#,#chainmail,,,
501202,501201,501202,501202,501202,#,#chainmail,,,
101302,101301,101302,101302,101302,#,#color variations,,,
201302,201301,201302,201302,201302,#,#color variations,,,
301302,301301,301302,301302,301302,#,#color variations,,,
401302,401301,401302,401302,401302,#,#color variations,,,
501302,501301,501302,501302,501302,#,#color variations,,,
101303,101301,101303,,,#,#color variations,,,
201303,201301,201303,,,#,#color variations,,,
301303,301301,301303,,,#,#color variations,,,
401303,401301,401303,,,#,#color variations,,,
501303,501301,501303,,,#,#color variations,,,
101304,101301,101304,,,#,#color variations,,,
201304,201301,201304,,,#,#color variations,,,
301304,301301,301304,,,#,#color variations,,,
401304,401301,401304,,,#,#color variations,,,
501304,501301,501304,,,#,#color variations,,,
101902,101901,101902,101902,101902,#,#Colorful GP armor,,,
201902,201901,201902,201902,201902,#,#Colorful GP armor,,,
301902,301901,301902,301902,301902,#,#Colorful GP armor,,,
401902,401901,401902,401902,401902,#,#Colorful GP armor,,,
501902,501901,501902,501902,501902,#,#Colorful GP armor,,,
201903,201901,201903,,,#,#color variations,,,
200302,200101,200302,,,#hard leather armor,#leather mail,,,
200303,200101,200303,,,#Leather Mail of Ruin,#leather mail,,,
100601,100201,100601,,,#Helmet of Patience,#bronzehelm,,,
200601,200201,200601,,,#Armor of Patience,#bronze cuirass,,,
300601,300201,300601,,,#Leg armor of patience,#Cuis,,,
400601,400201,400601,,,#gauntlet of patience,#bronzeglobe,,,
500601,500201,500601,,,#shoes of patience,#BronzeGleaves,,,
