#,#Individual information,,Set up to 3 effects,,,,,,,,,,,,,Startup script ID (Please note that it will be executed after the model has been loaded),,Conversation motion ID,"When accessing (talking), do not face the player.",caster shadow disabled,Basic ability information,,,,transparency flag,,,,,,,,,
#,#serialid,NPC name,Effect ID1,,,,Effect ID2,,,,Effect ID3,,,,NPC effect,,Standby motion ID,,,,level,"two names, different names",,Minimap name,,,,,,,,,,
#,#,,,Effect offset position,,,,Effect offset position,,,,Effect offset position,,,match the direction of,,,,,,,,Effect ID,,face,hair,right hand,left hand,Head,torso,leg,arm,feet,cloak
#,#,,,X,Y,Z,,X,Y,Z,,X,Y,Z,mosquito? (Reflected when other than 0),,,,,,,,,,,,,,,,,,,
#,1,2,,,,,,,,,,,,,,,7,,,,25,3,,,,,,,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#Port town Il Faro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Piazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000001,Doruk,0,,,,,,,,,,,,,,0,5,0,0,99,adventurer guild,0,,,,,,,,,,,,
10000002,Wanda,0,,,,,,,,,,,,,,0,5,0,0,99,innkeeper,0,,,,,,,,,,,,
10000003,Guido,0,,,,,,,,,,,,,,0,5,0,0,99,Priest Kuopati,0,,,,,,,,,,,,
10000004,Carlarde,0,,,,,,,,,,,,,,0,5,0,0,99,Shrine Maiden of Ishik,0,,,,,,,,,,,,
10000005,gardner,8,,,,,,,,,,,,,,0,5,0,0,99,Dungeon guide,0,,,,,,,,,,,,
10000006,Wallad,0,,,,,,,,,,,,,,0,5,0,0,99,lookout,0,,,,,,,,,,,,
10000007,Tseinan,0,,,,,,,,,,,,,,0,5,0,0,99,Kuupati monk,0,,,,,,,,,,,,
10000008,Cheerios,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
10000009,suzanne,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
10000010,donkey,0,,,,,,,,,,,,,,0,5,0,0,99,General store,0,,,,,,,,,,,,
10000012,Naituno,0,,,,,,,,,,,,,,0,5,0,0,99,novice adventurer,0,,,,,,,,,,,,
10000013,olive,0,,,,,,,,,,,,,,0,5,0,0,99,innkeeper's daughter,0,,,,,,,,,,,,
10000014,tentoot,0,,,,,,,,,,,,,,0,5,0,0,99,Kuupati monk,0,,,,,,,,,,,,
10000015,steve,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
10000016,Vega,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
10000017,Bucom,0,,,,,,,,,,,,,,0,5,0,0,99,rogue,0,,,,,,,,,,,,
10000018,Luruti,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
10000019,abdul,0,,,,,,,,,,,,,,0,5,0,0,99,adventurer guild staff,0,,,,,,,,,,,,
10000020,catalina,0,,,,,,,,,,,,,,0,5,0,0,99,clerk,0,,,,,,,,,,,,
10000021,fonica,0,,,,,,,,,,,,,,0,5,0,0,99,*Party receptionist*,0,,,,,,,,,,,,
10000022,Elise,0,,,,,,,,,,,,,,0,5,0,0,99,clerk,0,,,,,,,,,,,,
10000023,Gurriel,0,,,,,,,,,,,,,,0,5,0,0,99,clerk,0,,,,,,,,,,,,
10000028,stark,0,,,,,,,,,,,,,,0,5,0,0,99,Drink it!,0,,,,,,,,,,,,
10000029,lease,0,,,,,,,,,,,,,,0,5,0,0,99,good wife,0,,,,,,,,,,,,
10000030,Bilal,0,,,,,,,,,,,,,,0,5,0,0,99,National Knights,0,,,,,,,,,,,,
10000031,maller,0,,,,,,,,,,,,,,0,5,0,0,99,Resident of Ilfaro,0,,,,,,,,,,,,
